,name,esrb,total_rating
170,Just Dance 2016,4,71.38733427
171,Just Dance 2015,4,82.18207662
172,Just Dance 2014,4,74.46343807
173,Jetpack Joyride,4,71.7361253
174,Jamestown+,4,91.5
175,Jak and Daxter: The Precursor Legacy,4,88.16961785
176,Ittle Dew 2,4,81.5
177,ICEY,4,77.55093999
178,I am Bread,4,56.78571429
179,I Am Setsuna,4,78.04112412
180,Hyper Void,4,79.25
181,Holy Potatoes! A Weapon Shop?!,4,70
182,Hollow Knight,4,90.5851676
183,Hohokum,4,71.11020714
184,Hitman GO: Definitive Edition,4,78.8125
185,Henry The Hamster Handler,4,70
186,Hello Neighbor,4,39.0306864
187,Heart&Slash,4,77.5
188,Headmaster,4,79
189,Has-Been Heroes,4,74
190,Hardware: Rivals,4,56.55375283
191,Hammerwatch,4,69.66101624
192,Guilt Battle Arena,4,52
193,Guacamelee! Super Turbo Championship Edition,4,84.00706773
194,Gryphon Knight Epic,4,64.6
195,Goosebumps: The Game,4,40
196,Goat Simulator,4,52.43752259
197,Ghostbusters,4,31.08333333
198,Ghost Blade HD,4,70.8
199,Gang Beasts,4,67.87385377
200,GNOG,4,72.5
201,GALAK-Z: The Dimensional,4,80.6908067
202,FullBlast,4,50
203,Foul Play,4,72
204,Flynn & Freckles,4,30
205,Flinthook,4,80.33319461
206,FOX n FORESTS,4,71
207,FEIST,4,67.5
208,Enter the Gungeon,4,76.20610951
209,Emily Wants To Play,4,65.72945205
210,Eagle Flight,4,64.64285714
211,Dustoff Heli Rescue 2,4,70
212,Duck Game,4,82.19993635
213,Dragon Sinker,4,60
214,Dragon Quest Builders,4,80.89737666
215,Disney Infinity 3.0,4,80.4973146
216,Disco Dodgeball Remix,4,72
217,Dimension Drive,4,71
218,Digimon World: Next Order,4,70.9
219,Devious Dungeon,4,70
220,Defense Grid 2,4,78.52401581
221,De-formers,4,40
222,Danger Zone 2,4,70.25
223,Danger Zone,4,61.77777778
224,Dandara,4,69.6
225,DOGOS,4,63
226,D/Generation HD,4,50
227,Curses 'N Chaos,4,60
228,Croixleur Sigma,4,62.75
229,Crazy Strike Bowling EX,4,73
230,Crash Bandicoot N. Sane Trilogy,4,82.01499167
231,Costume Quest 2,4,71.08334302
232,Clicker Heroes,4,64.35236981
233,City of Brass,4,69.0625
234,Citizens of Earth,4,71.35714286
235,ChromaGun,4,75
236,Child of Light,4,84.75455489
237,Celeste,4,91.69045487
238,Caveman Warriors,4,50.33333333
239,Cat Quest,4,83.8125
240,Cartoon Network: Battle Crashers,4,41.66666667
241,Cars 3: Driven to Win,4,72.5
242,Carnival Games VR,4,63.33333333
243,Capsule Force,4,66.8
244,Cannon Brawl,4,82.5
245,Burnout Paradise Remastered,4,76.83333333
246,Burly Men at Sea,4,67.5
247,Broken Bots,4,55
248,Broken Age,4,76.51726061
249,Brawlout,4,54
250,Brawlhalla,4,73.35222775
251,Bound,4,72.90321702
252,Bomber Crew,4,82.5
253,Bloodstained: Curse of the Moon,4,79.7459204
254,Black The Fall,4,75.625
255,Ben 10,4,70
256,Battle Worlds: Kronos,4,46.66666667
257,Bastion,4,87.24809569
258,Baseball Riot,4,59.25
259,Back to Bed,4,70.96777983
260,Aven Colony,4,67.58337128
261,Assault Suit Leynos,4,70
262,Assault Gunners HD Edition,4,64
263,Assault Android Cactus,4,78.09018222
264,Armello,4,75.90679983
265,AirMech Arena,4,80
266,AirMech,4,45.61403509
267,Adventures of Pip,4,71.9375
268,Adventure Time: Pirates Of The Enchiridion,4,56.33333333
269,Adventure Pop,4,47
270,AER,4,72
271,ACA NEOGEO TOP HUNTER: RODDY & CATHY,4,90
272,A Hat in Time,4,81.73846284
273,88 Heroes,4,83.25
274,303 Squadron: Battle of Britain,4,50
275,20XX,4,77.66666667
276,100ft Robot Golf,4,59
,,Mean:,70.98240568
,,Std:,12.02581386
