,name,esrb,total_rating
158,Risk of Rain,5,85.15000159
159,Rebel Galaxy,5,76.03061853
160,Raging Justice,5,61.5
161,Rack N Ruin,5,69.9
162,Rabi-Ribi,5,87.66666667
163,RWBY: Grimm Eclipse,5,67.5
164,Quiplash,5,71.58352071
165,Puddle,5,71.125
166,Psychonauts,5,85.6915521
167,Psycho-Pass: Mandatory Happiness,5,59.15826413
168,Prominence Poker,5,62.5
169,PlanetSide 2,5,78.96532557
170,Plague Road,5,73
171,Phantasy Star Online 2,5,77.6
172,Paranautical Activity,5,59
173,Paragon,5,71.62563749
174,Paladins,5,82.82417203
175,PLANET ALPHA,5,58.25
176,Oxenfree,5,77.60816892
177,Overwatch: Origins Edition,5,85.24195251
178,Overwatch - Game of the Year Edition,5,80
179,Overwatch,5,88.11833654
180,Overlord: Fellowship of Evil,5,43.125
181,Overload,5,77.5
182,One Piece: Unlimited World Red - Deluxe Edition,5,62.58333333
183,One Piece: Pirate Warriors 3,5,73.20575495
184,One Piece: Burning Blood,5,77.35
185,One More Dungeon,5,60
186,Omega Quintet,5,63.33333333
187,Oh...Sir!! The Insult Simulator,5,71.125
188,Oh My Godheads,5,59.25
189,Oddworld: New 'n' Tasty,5,79.03461656
190,Numantia,5,50
191,Nobunaga's Ambition: Sphere of Influence â€“ Ascension,5,71.66666667
192,Nobunaga's Ambition: Sphere of Influence,5,80.125
193,No Man's Sky,5,70.66332996
194,Ninja Shodown,5,65
195,Nights of Azure,5,58.16666667
196,Nightmares from the Deep: The Cursed Heart,5,74.1002696
197,Night in the Woods,5,82.12619606
198,Night Trap: 25th Anniversary Edition,5,50
199,Nidhogg 2,5,80.45171162
200,Nidhogg,5,84.24442985
201,Ni no Kuni II: Revenant Kingdom,5,80.65049433
202,Nex Machina,5,85.60699796
203,New Gundam Breaker,5,43.75
204,Neverwinter,5,67.23957309
205,Never Alone,5,71.60428072
206,Need for Speed,5,66.71439315
207,Need For Speed: Payback,5,57.07406693
208,Necropolis,5,64.32826445
209,Naruto: Ultimate Ninja Storm,5,74.80037347
210,Naruto to Boruto: Shinobi Striker,5,50
211,Naruto Shippuden: Ultimate Ninja Storm 4,5,75.36623028
212,My Name is Mayo,5,69.59302326
213,Mr. Shifty,5,71.9375
214,Mount & Blade: Warband,5,77.65615386
215,Morphite,5,74
216,Monster Slayers,5,80
217,Monster Hunter: World,5,91.02529009
218,Mitsurugi Kamui Hikae,5,69.28052065
219,Mirror's Edge Catalyst,5,71.09237339
220,Mercenary Kings Reloaded,5,80
221,Mercenary Kings,5,74.95984887
222,Megadimension Neptunia VIIR,5,83
223,Megadimension Neptunia VII,5,78.5
224,Masquerada: Songs and Shadows,5,75.75
225,Marvel: Ultimate Alliance 2,5,72.75226552
226,Marvel: Ultimate Alliance,5,75.78697758
227,Marvel's Spider-Man,5,90.05087849
228,Marvel's Guardians of the Galaxy: The Telltale Series,5,70.84819331
229,Marvel Puzzle Quest,5,45
230,Marvel Heroes Omega,5,73.33333333
231,Mark McMorris Infinite Air,5,64.16666667
232,Manual Samuel,5,65.5
233,Maldita Castilla EX,5,79.5
234,Maize,5,75
235,Lost Orbit,5,73.16666667
236,Loading Human,5,53.33333333
237,Livelock,5,77.375
238,Limbo,5,83.04903324
239,Lifeless Planet,5,60.21193497
240,Lichtspeer,5,62.28571429
241,Lethal VR,5,74.16666667
242,Let's Sing 2016,5,50
243,Lara Croft and the Temple of Osiris,5,73.46353932
244,Kona,5,76.70140984
245,Knee Deep,5,76.25
246,Kitten Squad,5,49.03051916
247,Kholat,5,62.41871654
248,Jurassic World Evolution,5,70.8611588
249,Jotun: Valhalla Edition,5,82.7
250,Jazzpunk: Director's Cut,5,78.33333333
251,Jazzpunk,5,74.92814473
252,James Bond 007: Everything or Nothing,5,74.87638682
253,JYDGE,5,79.375
254,J-Stars Victory Vs+,5,67
255,Iron Crypticle,5,73.5
256,Invisible Inc.,5,81.63652569
257,Injustice: Gods Among Us,5,76.77937216
258,Injustice 2,5,85.89192501
259,Infinifactory,5,79.35400683
260,Infamous: Second Son,5,80.13324443
261,Iconoclasts,5,73.276578
262,INFERNIUM,5,65
263,Hyper Light Drifter,5,86.33776992
264,Hungry Shark World,5,90
265,Horizon Zero Dawn,5,91.37812555
266,Hob,5,76.97464435
267,Hidden Dragon: Legend,5,56.25
268,Heroine Anthem Zero,5,60
269,Her Majesty's SPIFFING,5,76.33333333
270,Helldivers,5,79.15542159
271,Headlander,5,76.60639378
272,Hawken,5,49.64445064
273,Hatsune Miku: Project Diva X,5,82.77777778
274,Hatsune Miku: Project Diva Future Tone,5,83.125
275,Hatsune Miku VR: Future Live: 1st Stage,5,40
276,Hand of the Gods,5,70
277,Hand of Fate,5,75.53898477
278,H1Z1: Battle Royale,5,74.19768453
279,Gwent: The Witcher Card Game,5,76.80326797
280,Gunscape,5,62.5
281,"Guns, Gore & Cannoli",5,74.41567776
282,Guns Up!,5,47.5
283,Guitar Hero Live,5,84.77519405
284,Guilty Gear Xrd: Sign,5,79.16666667
285,Guilty Gear Xrd: Revelator,5,87.78571429
286,Guilty Gear Xrd,5,89.38024895
287,Gravity Rush Remastered,5,77.43706461
288,Gravity Rush 2,5,72.50103294
289,Grand Kingdom,5,74.24006154
290,Godzilla: The Game,5,40.625
291,God Eater 2 - Rage Burst,5,63.73763955
292,God Eater - Resurrection,5,71.875
293,Gene Rain,5,20
294,Gemini: Heroes Reborn,5,72.5
295,Gekido Kintaro's Revenge,5,86
296,Frost,5,70
297,Fortnite,5,77.63253798
298,Flockers,5,60.83333333
299,Flipping Death,5,72.25
300,Fire Pro Wrestling World,5,78.75
301,Final Fantasy XV,5,79.71377318
302,Final Fantasy XIV: A Realm Reborn,5,85.70224315
303,Final Fantasy XII: The Zodiac Age,5,86.96775623
304,Final Fantasy VII,5,88.11186168
305,Final Fantasy IX,5,87.61120191
306,Figment,5,79
307,Fighting EX Layer,5,70
308,Fibbage,5,85.5
309,Fate/Extella: The Umbral Star,5,74.61764706
310,Fat Princess Adventures,5,66.85714286
311,Fallout Shelter,5,65.91243563
312,Fallen Legion: Sins of an Empire,5,63.8
313,Fallen Legion: Flames of Rebellion,5,47
314,Exist Archive: The Other Side of the Sky,5,67.4
315,Elite: Dangerous,5,80.81863518
316,Earthlock: Festival of Magic,5,69.33333333
317,Earthfall,5,58.5
318,Earth's Dawn,5,77.625
319,EVE: Valkyrie,5,68.74737683
320,EA Sports UFC 3,5,60
321,EA Sports UFC 2,5,74.8914913
322,EA Sports UFC,5,69.79130763
323,Dynasty Warriors: Godseekers,5,68.75
324,Dynasty Warriors 9,5,57.5625
325,Dynasty Warriors 8,5,70.94185398
326,Dungeons 3,5,77
327,Dungeon Rushers,5,55
328,Dungeon Hunter 5,5,90
329,Drawful 2,5,73.75
330,Dragon Quest XI: Echoes of an Elusive Age,5,82
331,Dragon Quest III,5,85.8463064
332,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,5,74.60890112
333,Dragon Fin Soup,5,50
334,Dragon Ball: Xenoverse 2,5,71.76775
335,Dragon Ball: Xenoverse,5,67.0925403
336,Dragon Ball FighterZ,5,87.80091903
337,Double Dragon IV,5,55.88888889
338,Divide,5,49.16666667
339,Divekick,5,62.85833729
340,Dissidia Final Fantasy NT,5,63.16666667
341,Disgaea 5: Alliance of Vengeance,5,81.7346474
342,Digimon Story: Cyber Sleuth - Hacker's Memory,5,73.25
343,Digimon Story Cyber Sleuth,5,79.59032271
344,Die for Valhalla!,5,70
345,DiRT 4,5,76.7085125
346,Destroy All Humans!,5,70.08414142
347,Destiny 2,5,82.67768471
348,Destiny,5,74.37368785
349,Death Road to Canada,5,72.5912443
350,Dead Synchronicity: Tomorrow Comes Today,5,76.52507638
351,Darkest Dungeon,5,84.77293303
352,Dark Cloud 2,5,90.1059266
353,DC Universe Online,5,68.327251
354,Cyberdimension Neptunia: 4 Goddesses Online,5,76.625
355,Crypt of the NecroDancer,5,80.96259173
356,Crow,5,50
357,Crossout,5,57.5
358,Crossing Souls,5,71.05250959
359,Crawl,5,72.43863911
360,Cosmic Star Heroine,5,78.66666667
361,Contrast,5,53.67995856
362,Cold Iron,5,53.5
363,Cladun Returns: This is Sengoku!,5,63.66666667
364,Chroma Squad,5,79.75646428
365,Chasm,5,59.28571429
366,Chaos on Deponia,5,82.18230474
367,Cel Damage,5,49.27385407
368,Bully,5,86.67141662
369,Bulb Boy,5,78.35883963
370,Brut@l,5,61.21428571
371,Brothers: A Tale of Two Sons,5,83.74279991
372,Broken Sword 5: The Serpent's Curse,5,70.88324371
373,Bravo Team,5,35
374,Bombshell,5,41.875
375,Blood Bowl 2,5,69.25
376,Bleed 2,5,75.66666667
377,BlazBlue: Cross Tag Battle,5,68.42857143
378,BlazBlue: Chrono Phantasma Extend,5,85
379,BlazBlue: Chrono Phantasma,5,78.36864257
380,BlazBlue: Centralfiction,5,82.8
381,Bladestorm: Nightmare,5,61.14285714
382,Blade Strangers,5,65.75
383,Blacksea Odyssey,5,79.5
384,Black Clover: Quartet Knights,5,70
385,Battlezone Gold Edition,5,85
386,Battleborn,5,71.52699023
387,Battle Islands,5,50
388,Battle Chasers: Nightwar,5,83.78826179
389,Battalion Commander,5,60
390,Basement Crawl,5,26.66666667
391,Back to the Future: The Game - Episode 1: It's About Time,5,80
392,Back to the Future: The Game,5,67.8470668
393,Azure Reflections,5,80
394,Axiom Verge,5,82.46866587
395,Awesomenauts Assemble!,5,90
396,Atelier Sophie: The Alchemist of the Mysterious Book,5,78.04166667
397,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,5,78.33333333
398,Atelier Firis: The Alchemist and the Mysterious Journey,5,78.33333333
399,Asemblance,5,52.77777778
400,Asdivine Hearts,5,60
